%time,field.header.stamp,field.header.frame_id,field.latitude,,,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1.61E+18,0,,42.2032606N,42.20326,71.052169,71.0521696W,9.7 m,330582.5387,4674383.021,19,T
1.61E+18,0,,42.2032697N,42.203269,71.052158,71.0521586W,9.6 m,330583.4712,4674384.01,19,T
1.61E+18,0,,42.2032848N,42.203284,71.052142,71.0521424W,9.6 m,330584.849,4674385.654,19,T
1.61E+18,0,,42.203302N,42.203302,71.05212W,71.05212W,9.5 m,330586.7443,4674387.52,19,T
1.61E+18,0,,42.2033223N,42.203322,71.052095,71.0520954W,9.5 m,330588.8295,4674389.725,19,T
1.61E+18,0,,42.2033419N,42.203341,71.05207,71.0520702W,9.4 m,330590.9624,4674391.851,19,T
1.61E+18,0,,42.2033614N,42.203361,71.052044,71.0520443W,9.4 m,330593.1528,4674393.965,19,T
1.61E+18,0,,42.2033802N,42.20338,71.052017,71.0520175W,9.7 m,330595.4156,4674395.999,19,T
1.61E+18,0,,42.2033981N,42.203398,71.051991,71.0519912W,9.8 m,330597.6347,4674397.935,19,T
1.61E+18,0,,42.203417N,42.203417,71.051966,71.0519661W,10.0 m,330599.7574,4674399.983,19,T
1.61E+18,0,,42.2034369N,42.203436,71.051942,71.0519422W,9.9 m,330601.7838,4674402.146,19,T
1.61E+18,0,,42.2034568N,42.203456,71.051918,71.0519188W,9.8 m,330603.7688,4674404.309,19,T
1.61E+18,0,,42.2034775N,42.203477,71.051894,71.0518941W,9.7 m,330605.8634,4674406.558,19,T
1.61E+18,0,,42.2034986N,42.203498,71.051867,71.0518679W,9.7 m,330608.0828,4674408.849,19,T
1.61E+18,0,,42.2035197N,42.203519,71.051842,71.0518422W,9.5 m,330610.2609,4674411.141,19,T
1.61E+18,0,,42.2035394N,42.203539,71.051817,71.0518179W,9.5 m,330612.3197,4674413.28,19,T
1.61E+18,0,,42.2035583N,42.203558,71.051795,71.0517958W,9.4 m,330614.1948,4674415.335,19,T
1.61E+18,0,,42.2035739N,42.203573,71.051775,71.0517755W,9.4 m,330615.9124,4674417.027,19,T
1.61E+18,0,,42.2035891N,42.203589,71.051759,71.051759W,9.4 m,330617.3152,4674418.682,19,T
1.61E+18,0,,42.2036033N,42.203603,71.051743,71.0517439W,9.7 m,330618.5998,4674420.229,19,T
1.61E+18,0,,42.2036151N,42.203615,71.051728,71.0517289W,9.8 m,330619.8697,4674421.509,19,T
1.61E+18,0,,42.2036264N,42.203626,71.051715,71.0517154W,9.8 m,330621.0145,4674422.737,19,T
1.61E+18,0,,42.2036363N,42.203636,71.051702,71.0517021W,9.9 m,330622.1389,4674423.81,19,T
1.61E+18,0,,42.2036464N,42.203646,71.05169,71.0516901W,9.9 m,330623.1566,4674424.907,19,T
1.61E+18,0,,42.2036567N,42.203656,71.051678,71.0516783W,10.0 m,330624.1583,4674426.028,19,T
1.61E+18,0,,42.2036676N,42.203667,71.051664,71.0516647W,10.0 m,330625.3103,4674427.211,19,T
1.61E+18,0,,42.2036806N,42.20368,71.051649,71.0516498W,10.1 m,330626.5751,4674428.625,19,T
1.61E+18,0,,42.2036953N,42.203695,71.051634,71.0516343W,10.1 m,330627.894,4674430.226,19,T
1.61E+18,0,,42.2037107N,42.20371,71.051616,71.051616W,10.3 m,330629.446,4674431.9,19,T
1.61E+18,0,,42.2037271N,42.203727,71.051595,71.0515958W,10.3 m,330631.1575,4674433.681,19,T
1.61E+18,0,,42.2037444N,42.203744,71.051575,71.0515755W,10.2 m,330632.8797,4674435.562,19,T
1.61E+18,0,,42.2037616N,42.203761,71.051554,71.0515541W,10.2 m,330634.6924,4674437.429,19,T
1.61E+18,0,,42.2037791N,42.203779,71.051532,71.0515326W,10.2 m,330636.5141,4674439.33,19,T
1.61E+18,0,,42.2037943N,42.203794,71.051509,71.0515094W,10.2 m,330638.4701,4674440.971,19,T
1.61E+18,0,,42.2038095N,42.203809,71.051487,71.0514877W,10.4 m,330640.3022,4674442.616,19,T
1.61E+18,0,,42.2038259N,42.203825,71.051466,71.0514668W,10.6 m,330642.0715,4674444.395,19,T
1.61E+18,0,,42.2038424N,42.203842,71.051449,71.051449W,10.5 m,330643.5851,4674446.192,19,T
1.61E+18,0,,42.2038572N,42.203857,71.051433,71.0514336W,10.4 m,330644.8961,4674447.805,19,T
1.61E+18,0,,42.2038709N,42.20387,71.051422,71.0514223W,10.4 m,330645.8656,4674449.304,19,T
1.61E+18,0,,42.2038849N,42.203884,71.051415,71.0514157W,10.4 m,330646.4479,4674450.845,19,T
1.61E+18,0,,42.2038994N,42.203899,71.051413,71.0514135W,10.4 m,330646.6682,4674452.451,19,T
1.61E+18,0,,42.2039165N,42.203916,71.051419,71.0514194W,10.5 m,330646.2268,4674454.362,19,T
1.61E+18,0,,42.2039301N,42.20393,71.051427,71.0514273W,10.4 m,330645.611,4674455.887,19,T
1.61E+18,0,,42.2039422N,42.203942,71.051435,71.0514359W,10.6 m,330644.9333,4674457.248,19,T
