%time,field.header.seq,field.header.stamp,field.header.frame_id,field.yaw,field.pitch,field.roll
1614992887626088713,111,1614992887625730037,imu,1.4177134981,0.0403520123061,-0.0317649923862
1614992888132025469,112,1614992888130996942,imu,1.41774840469,0.0403520123062,-0.0317649923864
1614992888637782183,113,1614992888636806011,imu,1.41769604481,0.040317105721,-0.0318173522638
1614992889143607695,114,1614992889142637014,imu,1.4177134981,0.0402996524285,-0.0317300858012
1614992889649110352,115,1614992889648188114,imu,1.4177134981,0.0403520123061,-0.0317300858013
1614992890154981778,116,1614992890154020071,imu,1.41767859152,0.0403345590135,-0.0317998989713
1614992890660828929,117,1614992890659848928,imu,1.41774840469,0.0403520123061,-0.0316777259237
1614992891166421769,118,1614992891165534019,imu,1.41767859152,0.0403520123062,-0.0318173522639
1614992891673202068,119,1614992891672272920,imu,1.4177134981,0.0403694655986,-0.0317649923863
1614992892180303816,120,1614992892179256916,imu,1.41774840469,0.0403869188911,-0.0317126325087
1614992892687036131,121,1614992892686124086,imu,1.4177134981,0.0403694655986,-0.0318173522639
1614992893192619070,122,1614992893192203044,imu,1.41783567115,0.0403694655986,-0.0317475390937
1614992893699636455,123,1614992893698676109,imu,1.41783567115,0.0403520123061,-0.0317649923863
1614992894202218934,124,1614992894201822042,imu,1.41783567115,0.0403869188911,-0.0317998989713
1614992894709137021,125,1614992894708203077,imu,1.41790548432,0.0403869188911,-0.0317300858012
1614992895215749934,126,1614992895214792013,imu,1.41785312444,0.0403345590136,-0.0317649923864
1614992895722687960,127,1614992895721576929,imu,1.41785312444,0.0403171057211,-0.0317649923863
1614992896229445248,128,1614992896228507995,imu,1.41790548432,0.0403520123061,-0.0316428193387
1614992896736200323,129,1614992896735239028,imu,1.41781821786,0.0403171057211,-0.0317824456789
1614992897242767949,130,1614992897241830110,imu,1.41788803103,0.0403171057211,-0.0316428193387
1614992897748337310,131,1614992897747805118,imu,1.41788803103,0.0403869188911,-0.0316951792162
1614992898255126253,132,1614992898254246950,imu,1.41788803103,0.0403520123062,-0.0317126325088
