%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1614786088656435068,78,0,,42.2022641N,71.0537183W,9.1 m,330452.01446869964,4674275.448681008,19,T
1614786089656594120,79,0,,42.2022777N,71.0537151W,9.1 m,330452.3150382965,4674276.952459067,19,T
1614786090645966296,80,0,,42.2022864N,71.0537123W,9.1 m,330452.5694772585,4674277.912937325,19,T
1614786091653330713,81,0,,42.2022929N,71.0537097W,9.1 m,330452.80151960044,4674278.629525649,19,T
1614786092651882407,82,0,,42.2022986N,71.0537063W,9.2 m,330453.0974701096,4674279.255691091,19,T
1614786093652209860,83,0,,42.2023043N,71.0536997W,9.3 m,330453.65761272237,4674279.875492551,19,T
1614786094658698933,84,0,,42.202309N,71.0536896W,9.4 m,330454.5040406053,4674280.377293607,19,T
1614786095667374737,85,0,,42.2023151N,71.0536711W,9.6 m,330456.0477172986,4674281.017845301,19,T
1614786096659607791,86,0,,42.2023214N,71.0536493W,9.5 m,330457.8643767204,4674281.674042592,19,T
1614786097659197160,87,0,,42.2023278N,71.0536266W,9.5 m,330459.75560726924,4674282.339554518,19,T
1614786098663273389,88,0,,42.2023347N,71.0536022W,9.5 m,330461.7885267762,4674283.057206163,19,T
1614786099656943407,89,0,,42.2023428N,71.0535728W,9.5 m,330464.23745537654,4674283.898163088,19,T
1614786100664200224,90,0,,42.2023521N,71.0535415W,9.6 m,330466.8464568168,4674284.868590351,19,T
1614786101656439692,91,0,,42.2023636N,71.0535098W,9.6 m,330469.49436546676,4674286.082510831,19,T
1614786102666052268,92,0,,42.2023778N,71.0534769W,9.7 m,330472.2485662501,4674287.593853666,19,T
1614786103661629592,93,0,,42.2023963N,71.053443W,9.9 m,330475.0968258912,4674289.58068045,19,T
1614786104662730620,94,0,,42.2024169N,71.0534091W,10.0 m,330477.9507001708,4674291.80069205,19,T
1614786105660667138,95,0,,42.2024386N,71.053376W,9.9 m,330480.7414665491,4674294.1444393555,19,T
1614786106660835457,96,0,,42.2024609N,71.0533447W,10.1 m,330483.3852279536,4674296.558390762,19,T
1614786107663028070,97,0,,42.2024828N,71.0533157W,10.2 m,330485.8380302761,4674298.932500433,19,T
1614786108662414843,98,0,,42.2025057N,71.0532902W,10.2 m,330488.0045459815,4674301.424610003,19,T
1614786109663906699,99,0,,42.2025278N,71.0532644W,10.1 m,330490.1936887326,4674303.827291812,19,T
1614786110664217831,100,0,,42.2025483N,71.0532382W,10.2 m,330492.4115751999,4674306.051515169,19,T
1614786111662889235,101,0,,42.2025643N,71.0532148W,10.2 m,330494.3862593938,4674307.781626992,19,T
1614786112654650656,102,0,,42.2025782N,71.0531981W,10.2 m,330495.80217703816,4674309.291876963,19,T
1614786113660530878,103,0,,42.2025901N,71.0531839W,10.1 m,330497.0063466658,4674310.585018098,19,T
1614786114662334354,104,0,,42.2026N,71.0531678W,9.9 m,330498.36203099927,4674311.652302063,19,T
1614786115663252485,105,0,,42.2026043N,71.053147W,10.4 m,330500.0907704234,4674312.088418443,19,T
1614786116666321610,106,0,,42.2026123N,71.0531263W,10.3 m,330501.821147633,4674312.935581549,19,T
1614786117664521147,107,0,,42.2026197N,71.0531032W,10.4 m,330503.74806311814,4674313.711349538,19,T
1614786118663233366,108,0,,42.2026255N,71.0530798W,10.9 m,330505.69546765985,4674314.308857824,19,T
1614786119664023425,109,0,,42.2026326N,71.0530593W,11.0 m,330507.40692510834,4674315.056484022,19,T
1614786120666355582,110,0,,42.2026403N,71.0530424W,11.0 m,330508.8227719611,4674315.877891741,19,T
1614786121663474113,111,0,,42.2026406N,71.0530231W,11.4 m,330510.41697452014,4674315.872833332,19,T
1614786122666791927,112,0,,42.2026371N,71.0530019W,12.9 m,330512.15787953034,4674315.442046472,19,T
1614786123664675152,113,0,,42.2026363N,71.0529828W,13.9 m,330513.732628976,4674315.315242585,19,T
1614786124672357134,114,0,,42.2026395N,71.0529624W,14.2 m,330515.4254013044,4674315.630014052,19,T
1614786125674858329,115,0,,42.2026619N,71.0529588W,11.1 m,330515.7825097586,4674318.110150032,19,T
1614786126673442598,116,0,,42.2026749N,71.0529382W,10.1 m,330517.5179965379,4674319.512715012,19,T
1614786127667453510,117,0,,42.2026873N,71.0529064W,9.2 m,330520.1765452438,4674320.82639105,19,T
1614786128663810726,118,0,,42.2027024N,71.0528764W,8.8 m,330522.6937048447,4674322.443454005,19,T
1614786129666933881,119,0,,42.202718N,71.052847W,8.5 m,330525.1626644117,4674324.117230511,19,T
1614786130665361089,120,0,,42.2027348N,71.0528178W,8.9 m,330527.61831928196,4674325.9246532675,19,T
1614786131665338370,121,0,,42.2027536N,71.0527908W,8.7 m,330529.89768931316,4674327.9585298775,19,T
1614786132663906566,122,0,,42.2027714N,71.0527652W,8.4 m,330532.0588012418,4674329.884150315,19,T
1614786133667258135,123,0,,42.2027866N,71.0527427W,8.4 m,330533.95702657325,4674331.527229985,19,T
1614786134659570074,124,0,,42.2027981N,71.0527262W,8.4 m,330535.3500025724,4674332.771389475,19,T
1614786135663003251,125,0,,42.2028084N,71.0527136W,8.3 m,330536.4177882607,4674333.890053779,19,T
1614786136658262495,126,0,,42.202818N,71.0527019W,8.9 m,330537.4093987278,4674334.932779337,19,T
1614786137660470517,127,0,,42.2028262N,71.0526919W,8.6 m,330538.25691510335,4674335.823428432,19,T
1614786138660236885,128,0,,42.2028364N,71.052679W,8.4 m,330539.34920034034,4674336.930392843,19,T
1614786139660053696,129,0,,42.2028503N,71.0526618W,8.2 m,330540.8063821674,4674338.439657599,19,T
1614786140659317556,130,0,,42.2028668N,71.0526409W,8.0 m,330542.5759837482,4674340.230271701,19,T
1614786141660208328,131,0,,42.2028849N,71.0526167W,8.2 m,330544.62230752676,4674342.19199059,19,T
1614786142661067016,132,0,,42.2029031N,71.0525927W,8.5 m,330546.6523856666,4674344.165211569,19,T
1614786143664142419,133,0,,42.2029218N,71.0525686W,8.7 m,330548.69205527054,4674346.193754272,19,T
1614786144664337574,134,0,,42.20294N,71.0525456W,8.9 m,330550.63957192475,4674348.1689639995,19,T
1614786145663164911,135,0,,42.202956N,71.0525258W,9.0 m,330552.31701687817,4674349.906246896,19,T
